userId,movieId,rating,timestamp
1,5,5,964983536
1,52,5,964980668
1,61,4,964980683
1,69,4,964980694
1,80,5,964981855
2,52,4,1445714885
2,878,4,1445714952
2,1099,3.5,1445714960
2,1689,4,1445715013
2,1745,4,1445715064
2,2114,4.5,1445715141
2,2202,5,1445714980
2,2397,4.5,1445715154
2,2525,3,1445714974
2,2610,4,1445714926
2,2672,3,1445714941
2,2718,4,1445714841
2,2758,4.5,1445715340
2,2778,5,1445715172
2,3021,5,1445715189
2,3086,3.5,1445714891
2,3094,2.5,1445714938
2,3339,3.5,1445714874
2,3559,5,1445714966
2,3621,3,1445715145
2,3708,4,1445714882
2,3750,2,1445715276
2,3789,3.5,1445714854
2,3902,5,1445715272
2,4026,5,1445714851
3,127,0.5,1306464245
3,409,0.5,1306464284
4,17,4,986934498
4,24,4,986849238
4,29,2,964538243
4,92,5,986849180
4,109,4,986934465
4,118,3,986849149
4,133,4,986849164
4,152,4,986849130
4,157,1,986849254
4,163,3,986848856
4,164,4,986849180
4,169,3,986849201
4,170,3,986849226
4,174,4,986849149
4,175,5,986848753
4,205,3,986848700
4,212,2,1007569424
4,223,5,986848685
4,228,4,1007574542
4,232,3,1007569465
4,237,2,1007569424
4,242,4,1007574470
4,249,1,1007569465
4,258,4,1007569586
4,269,3,1007574509
4,288,1,1007569586
4,313,3,1007574532
4,320,5,1007569445
4,359,3,1007569445
4,367,4,1007574532
4,372,4,1007569465
7,23,1.5,1106713005
7,24,4.5,1106712549
7,52,1.5,1106636534
7,63,1,1106712541
7,80,3.5,1106635630
7,122,4,1106636596
7,138,2.5,1106635635
7,151,3,1161738301
7,161,4,1106712913
7,209,2,1106635742
7,228,2,1110855253
7,247,4,1106635524
7,250,0.5,1107127033
7,263,4.5,1106712869
7,290,1,1106635749
7,295,1.5,1109746591
7,342,1.5,1161738352
7,353,3,1106635738
7,362,4,1106636531
7,367,4,1106636718
7,379,4,1106636702
7,394,4.5,1106636589
7,396,4.5,1106636610
7,446,3.5,1106712866
7,487,3.5,1106636606
7,492,0.5,1106635735
7,516,4,1106636707
7,524,3,1106712820
7,529,3,1106636612
7,542,1.5,1106635745
7,581,5,1106713586
7,623,4.5,1106635705
7,654,4.5,1106636527
7,661,4,1106636600
7,765,4,1106712831
7,789,0.5,1157949714
7,794,4.5,1106636584
7,871,4.5,1106712827
7,896,2,1106712812
7,925,4.5,1106636579
7,930,4,1106636520
