movieId,title,year,genres,img_url,info_url
1,"Yards, The (2000)",2000,Crime|Drama,https://movie-phinf.pstatic.net/20111223_65/13245752231006PQ7e_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=13707
2,Next Friday (2000),2000,Comedy,https://movie-phinf.pstatic.net/20140318_234/1395137358088glxEM_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=28875
3,Supernova (2000),2000,Adventure|Sci-Fi|Thriller,https://movie-phinf.pstatic.net/20210318_281/1616043863160Y4nwt_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=194907
4,Down to You (2000),2000,Comedy|Romance,https://movie-phinf.pstatic.net/20111222_263/1324496535554Oyu1H_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=28897
5,Scream 3 (2000),2000,Comedy|Horror|Mystery|Thriller,https://movie-phinf.pstatic.net/20111221_110/1324447535286Ng8Ct_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29004
6,"Boondock Saints, The (2000)",2000,Action|Crime|Drama|Thriller,https://movie-phinf.pstatic.net/20111221_227/13244535867213c4oj_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29285
7,Gun Shy (2000),2000,Comedy,https://movie-phinf.pstatic.net/20170816_97/1502850071855XHQRp_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=166480
8,"Beach, The (2000)",2000,Adventure|Drama,https://movie-phinf.pstatic.net/20111221_294/13244646473285orwD_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=28187
9,Snow Day (2000),2000,Comedy,https://movie-phinf.pstatic.net/20111222_32/1324481843287fqlad_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29026
10,"Tigger Movie, The (2000)",2000,Animation|Children,https://movie-phinf.pstatic.net/20111222_283/1324484132525uXRpj_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29027
11,Boiler Room (2000),2000,Crime|Drama|Thriller,https://movie-phinf.pstatic.net/20111222_170/13244828974667eR1k_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29054
12,Hanging Up (2000),2000,Comedy|Drama,https://movie-phinf.pstatic.net/20111223_244/1324573223262K3Ol0_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29053
13,Pitch Black (2000),2000,Horror|Sci-Fi|Thriller,https://movie-phinf.pstatic.net/20210615_224/1623733174715cYVhX_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=206021
14,"Whole Nine Yards, The (2000)",2000,Comedy|Crime,https://movie-phinf.pstatic.net/20111223_65/13245752231006PQ7e_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=13707
16,Reindeer Games (2000),2000,Action|Thriller,https://movie-phinf.pstatic.net/20111221_42/1324462202307qdruh_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29105
17,Wonder Boys (2000),2000,Comedy|Drama,https://movie-phinf.pstatic.net/20111212_60/1323675330212AFU99_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29077
18,Chain of Fools (2000),2000,Comedy|Crime,https://movie-phinf.pstatic.net/20111221_280/13244753122087iWEF_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=31461
19,Drowning Mona (2000),2000,Comedy,https://movie-phinf.pstatic.net/20111222_175/1324538382160S5xOh_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29154
20,"Next Best Thing, The (2000)",2000,Comedy|Drama,https://movie-phinf.pstatic.net/20111222_258/1324483828864lx8c3_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29153
21,What Planet Are You From? (2000),2000,Comedy|Sci-Fi,https://movie-phinf.pstatic.net/20111221_39/1324468896982TuT0f_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29155
22,"Closer You Get, The (2000)",2000,Comedy|Romance,https://movie-phinf.pstatic.net/20111222_110/1324563871182BqXQj_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=30891
23,Mission to Mars (2000),2000,Sci-Fi,https://movie-phinf.pstatic.net/20111223_101/1324581231933j6oL9_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29192
24,Erin Brockovich (2000),2000,Drama,https://movie-phinf.pstatic.net/20111221_138/1324467494790vU6aD_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29102
25,Final Destination (2000),2000,Drama|Thriller,https://movie-phinf.pstatic.net/20111221_77/1324451337523RY7T6_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29223
26,Romeo Must Die (2000),2000,Action|Crime|Romance|Thriller,https://movie-phinf.pstatic.net/20111222_201/1324547180269dwtO7_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29152
27,Here on Earth (2000),2000,Drama|Romance,https://movie-phinf.pstatic.net/20111221_130/132446569713384LiD_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29286
29,High Fidelity (2000),2000,Comedy|Drama|Romance,https://movie-phinf.pstatic.net/20111221_164/1324452420105VmLI9_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29323
30,"Road to El Dorado, The (2000)",2000,Animation|Children,https://movie-phinf.pstatic.net/20111222_248/1324498250857Q668t_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29321
31,"Skulls, The (2000)",2000,Thriller,https://movie-phinf.pstatic.net/20111221_171/13244765595296ngRt_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29322
32,Frequency (2000),2000,Drama|Thriller,https://movie-phinf.pstatic.net/20170303_14/1488525743333gpXAY_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=161032
33,Ready to Rumble (2000),2000,Comedy,https://movie-phinf.pstatic.net/20111221_28/1324467441035GX8fA_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29363
34,Return to Me (2000),2000,Drama|Romance,https://movie-phinf.pstatic.net/20111221_293/1324459702175N9wGM_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29145
35,Rules of Engagement (2000),2000,Drama|Thriller,https://movie-phinf.pstatic.net/20111221_34/1324472549347Kphl2_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29103
36,Joe Gould's Secret (2000),2000,Drama,https://movie-phinf.pstatic.net/20111221_292/1324468031970KqNc0_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29545
37,Me Myself I (2000),2000,Comedy|Romance,https://movie-phinf.pstatic.net/20111223_96/13246228647515FOFY_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=31963
38,28 Days (2000),2000,Drama,https://movie-phinf.pstatic.net/20111222_257/1324486298147dPX9j_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29141
39,American Psycho (2000),2000,Crime|Horror|Mystery|Thriller,https://movie-phinf.pstatic.net/20111221_7/13244791714879iv1Q_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=28910
40,Keeping the Faith (2000),2000,Comedy|Drama|Romance,https://movie-phinf.pstatic.net/20111222_209/1324480132671t1t7H_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29144
41,Where the Money Is (2000),2000,Comedy|Drama,https://movie-phinf.pstatic.net/20111212_2/1323675417318hvpwU_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29544
42,"Filth and the Fury, The (2000)",2000,Documentary,https://movie-phinf.pstatic.net/20111223_271/1324627428087H6uCe_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=30160
43,Gossip (2000),2000,Drama|Thriller,https://movie-phinf.pstatic.net/20111221_264/1324453499400rnR9V_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29557
44,Love and Basketball (2000),2000,Drama|Romance,https://movie-phinf.pstatic.net/20111221_228/132447139297214Hzd_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29572
45,U-571 (2000),2000,Action|Thriller|War,https://movie-phinf.pstatic.net/20170927_133/1506491840501dANFf_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29146
46,"Crow: Salvation, The (2000)",2000,Action|Horror,https://movie-phinf.pstatic.net/20111221_201/1324465854965q04V4_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29949
47,"Flintstones in Viva Rock Vegas, The (2000)",2000,Children|Comedy,https://movie-phinf.pstatic.net/20111222_48/1324497927747m86vc_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29656
48,Where the Heart Is (2000),2000,Comedy|Drama,https://movie-phinf.pstatic.net/20111221_247/1324454455227871PH_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29143
49,"Big Kahuna, The (2000)",2000,Comedy|Drama,https://movie-phinf.pstatic.net/20111221_258/1324445889704VoNBw_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29658
50,Bossa Nova (2000),2000,Comedy|Drama|Romance,https://movie-phinf.pstatic.net/20160824_284/1472007232043KoBsj_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=35612
51,Time Code (2000),2000,Comedy|Drama,https://movie-phinf.pstatic.net/20160513_184/1463131379033BtoI3_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=150420
52,Gladiator (2000),2000,Action|Adventure|Drama,https://movie-phinf.pstatic.net/20130419_151/1366338731242XqgJS_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29217
53,Up at the Villa (2000),2000,Drama,https://movie-phinf.pstatic.net/20111212_82/1323675482290wOOCs_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29742
54,Battlefield Earth (2000),2000,Action|Sci-Fi,https://movie-phinf.pstatic.net/20111221_264/1324460929456h9maH_JPEG/movie_image.jpg,https://movie.naver.com/movie/bi/mi/basic.naver?code=29083
